# Z-averaged electrostatic potential from ABACUS ElecStaticPot.cube
# Column 1: z fractional coordinate
# Column 2: potential (Ry)
0.0000  -0.4521
0.0333   0.1234
0.0667   0.2345
0.1000   0.3456
0.1333   0.2891
0.1667   0.1523
0.2000  -0.0312
0.2333  -0.2145
0.2667  -0.3856
0.3000  -0.4123
0.3333  -0.3234
0.3667  -0.1567
0.4000   0.0423
0.4333   0.2156
0.4667   0.3567
0.5000   0.4234
0.5333   0.4521
0.5667   0.5123
0.6000   0.5834
0.6333   0.6234
0.6667   0.6278
0.7000   0.6289
0.7333   0.6291
0.7667   0.6290
0.8000   0.6291
0.8333   0.6290
0.8667   0.6291
0.9000   0.6290
0.9333   0.6291
0.9667   0.6290
1.0000   0.6291
